video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/Imv7wnmzw_w,/@SankoMatcha,Sanko Matcha,Historical Matcha Innovations,327,8 months,Today's traditional practices were yesterday's innovations.,2026-01-15 23:34:39.783611
/shorts/JUC4LCgjpwg,/@Zero1byZerodha,Zero1 by Zerodha,How MATCHA Took Over India 🍵,703K,5 months,shorts #trending #viralshorts #money #finance #stockmarket #india #matcha #coffee #tea.,2026-01-15 23:34:39.785195
/shorts/EEEfUcx6U1g,/@kyotako1372,Kyota Ko,The history of Sencha (Japanese green tea),150K,1 month,"The history of Sencha (Japanese green tea) —————— ▶︎ Hi, I'm Kyota Ko, the author of Amazon Best Sellers: —Folk Tales ...",2026-01-15 23:34:39.786573
/shorts/OpaMsbj28f4,/@jasontsay,Jason Tsay,"top 5 matcha brands in 2025, part 1 🍵",102K,11 months,... another 300-year-old matcha brand from Kyoto this is one of the most established matcha brands in both Japan and the US and ...,2026-01-15 23:34:39.788767
/shorts/RWG5Wyqk1kA,/@the_activefoodie,The Active Foodie,The History of Matcha,2.4K,8 months,"Matcha, a finely ground green tea powder, has its roots in China during the Tang Dynasty but became a central part of Japanese ...",2026-01-15 23:34:39.790110
/shorts/tFi8pgS6kTo,/@jayshetty,Jay Shetty,The truth about matcha #shorts,167K,2 years,Matcha is prepared in a very unique way the tea plants are heavily shaded for three weeks before Harvest a 90 shade cloth so it ...,2026-01-15 23:34:39.791551
/shorts/LuMu8rIDkvQ,/@CablesNews,Cables News,"The Story of Matcha, Part 1",224,4 months,"Matcha history begins in ancient China, where matcha first appeared in the Song Dynasty through the diancha ritual. Matcha ...",2026-01-15 23:34:39.792997
/shorts/EVTq3OWUQiM,/@AIDiscoveringJapan,AI Discovering Japan,Unveiling the Fascinating History of Matcha   A Gateway into Japan's Cultural Heritage,50,1 year,"Discover the captivating history of matcha and its deep cultural roots in Japan. From the Way of Tea to traditional tea rooms, ...",2026-01-15 23:34:39.795550
/shorts/PAVKP_xPQ50,/@Food_Mpire,Food_Mpire,The Surprising Origin of Matcha,1.1K,3 months,"Have you ever wondered where matcha really comes from? Its story begins in 9th century China, where Buddhist monks ground ...",2026-01-15 23:34:39.797935
/shorts/sy6iKzZ9wHw,/@SankoMatcha,Sanko Matcha,understanding the past for matcha's future,26,8 months,Understanding the past is an important step in understanding what is to come. Matcha has a long documented history thanks to ...,2026-01-15 23:34:39.799170
/shorts/waNyaTe_1TU,/@ThisGuyLorenzo,EnzoBeats,Japan’s Matcha History and Culture #japan #japaneseculture #aesthetic #japanese,666,1 year,Did you know that Matcha has a history as rich as its flavor? Here's all about Japanese Matcha history and culture. More videos ...,2026-01-15 23:34:39.800479
/shorts/vJdr05okwr8,/@Catoloves,Catoloves,Why Is Matcha Disappearing From Japan? ☘️ 🇯🇵 #matcha #food #shorts,15K,10 months,Muse - Matcha Is Disappearing From Japan!!   Subscribe if you liked this video!! ❤️ Credits @yuuuuto38 (TikTok) @wthnhi ...,2026-01-15 23:34:39.801701
/shorts/a0wKJPOK0rI,/@ChrisHardingJapan,Chris Harding's Japan,Where Does Our Obsession with Matcha Come From?,705,5 hours,From 'green gruel' to Gen Z essential. King Philip II of Spain thought green tea was basically hot water. 19th-century visitors to ...,2026-01-15 23:34:39.803080
/shorts/zBU0v9F-zD4,/@cuppabeans,Angus Wan,Grinding my own matcha in Japan!,18M,1 year,I ground my own matcha in Japan! This was one of my favourite experiences from the trip and being a heavy matcha drinker ...,2026-01-15 23:34:39.804438
/shorts/FxzGhjWp5_E,/@itsgracechin,Grace,Which Matcha To Buy And Avoid In Japan #japan,142K,1 year,"If you're travelling to Japan, here are the matcha that you should buy and the ones you should avoid. I got two different blends of ...",2026-01-15 23:34:39.805694
/shorts/ZPqR4WpHlcY,/@Sanaayaps0376,Sanaayaps,#matcha #japan #china #history,1.3K,7 months,Is matcha from Japan or China the answer is yes but also not exactly matcha's roots trace back to the Tang Dynasty where tea was ...,2026-01-15 23:34:39.807050
